0,5383
1,3
10,39
100,15
1000,19
100002,1
100006,1
10001,2
100017,1
10002,2
10003,4
1000360,1
10004,1
10005,4
100057,1
10006,2
1000630,1
10007,4
100073,1
1000745,2
10008,7
10009,2
100094,1
1001,22
10010,4
10011,2
100113,2
10012,7
100124,1
100127,1
10013,2
100136,1
100138,1
10014,1
10015,2
100150,1
10016,1
100167,1
10017,3
100170,1
100172,1
100173,1
10018,2
10019,4
100192,1
1002,20
10020,6
10021,4
100212,1
100214,1
10022,1
100222,1
100225,2
100227,1
10023,4
100234,1
100238,1
100243,1
10025,1
100250,1
100254,2
100258,1
10026,2
10027,4
100276,1
100277,1
10028,2
10029,3
1003,13
10030,1
100305,1
10031,3
10032,4
100331,1
1003401,1
100344,1
10035,3
10036,2
100363,8
10037,3
100376,1
100378,1
10038,2
100385,1
100386,1
10039,1
1004,16
10040,6
100407,1
1004089,1
10041,1
100411,1
100414,4
10042,2
10043,3
100437,1
10044,3
10045,4
10046,4
10048,1
10049,4
100494,1
1005,15
10050,3
10051,1
100515,1
100517,1
10052,2
100523,1
10053,8
100530,3
100534,3
100539,1
10054,2
100548,2
10055,2
100550,1
100558,1
100559,4
10056,5
100563,1
1005666,1
100571,2
10058,5
100587,1
10059,4
1006,26
100601,1
100608,1
10061,5
100611,1
100615,1
10062,27
100626,1
10063,2
100630,1
1006332,1
100634,2
10064,10
10065,1
100650,1
100653,1
1006533,1
10066,6
10067,2
100671,1
100676,1
10068,4
100680,1
1006877,1
100688,2
10069,2
1007,19
1007093,4
10071,3
100717,1
100719,1
10072,3
10073,1
100735,1
100739,1
10074,2
1007437,1
100747,1
10075,2
1007615,1
10077,6
100771,1
100776,1
10078,2
10079,3
100796,2
100799,2
1007992,1
1008,16
10080,2
100801,1
1008074,1
100809,1
10081,4
1008164,1
10082,3
100824,1
10083,5
1008353,1
10084,4
100847,1
10085,3
100859,1
10085929,1
100866,1
10087,1
10088,3
10089,1
1009,14
10090,3
100905,1
100906,1
10091,2
10092,3
100922,1
100937,1
100938,1
10094,7
100940,1
100942,1
100947,2
10095,1
10096,4
100961,1
100969,1
10098,1
10099,2
100992,1
100998,1
101,20
1010,15
10100,1
10101,1
101016,6
101018,1
10102,1
101027,1
10104,4
101043,1
10105,6
1010545,1
10106,4
10107,1
101070,1
101071,1
10108,2
10109,4
1011,14
10110,1
101106,1
10111,6
101112,1
101116,1
10112,1
1011236,1
1011244,1
101126,1
10113,5
101130,1
101138,1
101141,2
101143,1
101147,3
10115,2
10116,3
101167,1
10117,4
10118,3
1011822,1
101184,2
10119,3
101196,1
1012,9
10120,5
10121,2
10122,5
101225,1
10123,4
101231,1
