!,7202014
!=,48307697
%,462355
%=,4943
&,34119300
&&,5822908
&=,33456
&^,52787
&^=,22191
(,511832356
),511832000
*,110461628
*=,113940
+,1170940058
++,4777185
+=,3938811
",",993978651
-,14997225
--,648285
-=,423475
.,530553024
...,6058660
/,1074624
/=,32074
:,153472908
:=,104219609
;,687501798
<,6511696
<-,3124872
<<,3189510
<<=,24753
<=,1199941
=,100306853
==,19108006
>,4822613
>=,2542059
>>,1003409
>>=,75577
CHAR,5229899
COMMENT,193682544
FLOAT,10453741
IDENT,2447208598
ILLEGAL,2892422
IMAG,85067
INT,637398097
STRING,1417649812
[,86780639
],86780682
^,338445
^=,126020
break,2513936
case,11865633
chan,1982621
const,3388536
continue,1897570
default,1773577
defer,5599343
else,6767737
fallthrough,87924
for,13862710
func,76865587
go,952844
goto,1701556
if,84989142
import,5660310
interface,10175692
map,9081661
package,6256367
range,8672632
return,93951957
select,628941
struct,14575668
switch,2706496
type,14330533
var,17174558
{,291380214
|,2428500
|=,957690
||,3370349
},291379405
